id,likes
1,203335
2,212882
4,120905
5,124611
6,159678
7,140010
8,143319
9,185183
10,179427
11,220972
12,177510
13,260957
14,324310
15,179802
17,223748
18,115698
19,114718
20,91842
21,161202
